Disciplina;NivelDisciplina;AnoInicioPreRequisito;AnoFimPreRequisito;PreRequisito
AC001;G;2002;2003;AC242  AC243  AC248  AC250  AC270  AC280
AC001;G;2004;2006;AC250  AC270  AC280
AC001;G;2007;;AC250  AC270
AC002;G;2002;2003;AC242  AC243  AC248  AC250  AC280
AC002;G;2004;2010;AC250  AC270  AC280
AC002;;2011;;
AC003;G;2002;2004;AC113  AC213  AC219  AC228  AC250  AC270  AC280
AC003;G;2005;2006;AA200/ AC113  AC213  AC219  AC228  AC250  AC270  AC280
AC003;G;2007;;AA200/ AC113  AC213
AC004;G;2002;2003;AC113  AC213  AC219  AC228  AC250  AC270  AC280
AC004;G;2004;2004;AC113  AC213  AC218  AC228
AC004;G;2005;2012;AA200/ AC113  AC213  AC218  AC228
AC004;G;2013;;AA200/ AC113  AC213  AC218
AC005;G;2002;2006;AC242  AC243  AC248
AC005;G;2007;;AC242  AC248
AC006;G;2002;2003;AC242  AC243  AC248
AC006;G;2004;;AC005
AC007;G;2003;2009;AC212  AC410  AC430
AC007;G;2010;2010;AC212  AC410
AC007;;2011;;
AC008;G;2003;2010;AC205  AC611
AC008;;2011;;
AC009;G;2003;2003;AC007
AC009;;2004;;
AC010;G;2003;;AC008
AC011;G;2003;;AC009
AC012;G;2003;;AC010
AC021;G;2003;2004;AC205  AC212  AC410  AC413  AC420  AC430  AC611
AC021;G;2005;;AA200/ AC205  AC212  AC410  AC413  AC420  AC430  AC611
AC101;;1982;;
AC102;;1982;;
AC103;;1982;;
AC104;;1982;;
AC105;G;1990;1992;AA200/ AC611
AC105;G;1993;2001;AC611
AC105;G;2002;2007;AC109  AC209
AC105;G;2008;;AC109  AC209/ AA200
AC105;;1982;1989;
AC106;;1982;;
AC107;;1982;;
AC112;G;2002;2004;AC242  AC243  AC248
AC112;G;2005;2009;AA200/ AC242  AC243  AC248
AC112;G;2010;;AA200/ AC242  AC248
AC121;G;2008;2009;AA200/ AC205  AC212  AC410  AC413  AC420  AC430  AC611
AC121;G;2010;2010;AA200/ AC205  AC212  AC410  AC413  AC420  AC611
AC121;;2011;;
AC201;G;1986;1986;AC101/ AA200
AC201;G;1987;1988;AA200/ AC101
AC201;G;1989;1989;AC101/ AA200
AC201;G;1990;1992;AA200/ AC101
AC201;G;1993;;AC101
AC201;;1982;1985;
AC202;G;1986;1992;AC102/ AA200
AC202;G;1993;;AC102
AC202;;1982;1985;
AC203;G;1986;1992;AC103/ AA200
AC203;G;1993;;AC103
AC203;;1982;1985;
AC205;G;1986;1992;AC105/ AA200
AC205;G;1993;2007;AC105
AC205;G;2008;;AC105/ AA200
AC205;;1982;1985;
AC206;G;1986;1992;AC106/ AA200
AC206;G;1993;;AC106
AC206;;1982;1985;
AC207;G;1986;1992;AC107/ AA200
AC207;G;1993;;AC107
AC207;;1982;1985;
AC208;;1982;;
AC209;G;2001;;AC109
AC212;G;2002;2007;AC112
AC212;G;2008;;AC112/ AA200
AC213;G;2001;2002;AC113
AC213;;2003;;
AC219;G;2001;2002;AC109
AC219;;2003;;
AC221;G;2011;;AC121
AC228;G;2001;;AC128
AC229;G;2013;;AC129
AC242;G;2001;;AC142
AC243;G;2001;;AC143
AC248;G;2001;;AC148
AC250;G;2001;;AC150
AC270;G;2001;;AC170
AC280;G;2001;;AC180
AC301;G;1986;1992;AC201/ AA200
AC301;G;1993;2000;AC201
AC301;G;2001;;AC228
AC301;;1982;1985;
AC302;G;1986;1992;AC202/ AA200
AC302;G;1993;2000;AC202
AC302;G;2001;;AC219
AC302;;1982;1985;
AC304;G;1986;;AC104/ AA200
AC304;;1982;1985;
AC307;G;1986;1992;AC207/ AA200
AC307;G;1993;2000;AC207
AC307;G;2001;;AC250
AC307;;1982;1985;
AC309;G;1990;1992;AC207/ AA200
AC309;G;1993;2000;AC207
AC309;G;2001;;AC250
AC309;;1982;1989;
AC310;G;1990;1990;AC206/ AA200
AC310;G;1991;1993;AC615
AC310;G;1994;2001;AC515
AC310;G;2002;2007;AC242/ AC243
AC310;G;2008;;AC242/ AC243/ AA200
AC310;;1982;1989;
AC311;;1982;;
AC313;G;2002;2002;AC113  AC213
AC313;;2003;;
AC314;G;2002;2002;AC113  AC213
AC314;;2003;;
AC317;G;2011;;AA200/ AC113  AC213  AC218
AC319;G;2002;2002;AC119  AC219
AC319;;2003;;
AC320;G;2002;2002;AC119  AC219
AC320;;2003;;
AC325;G;2014;;AC242/ AC243/ AA200
AC330;G;2002;2007;AC250  AC280
AC330;G;2008;;AC250  AC280/ AA200
AC350;G;2013;;AC316
AC350;;2012;2012;
AC352;;1995;;
AC401;G;1985;1992;AC301/ AA200
AC401;G;1993;;AC301
AC401;;1982;1984;
AC402;G;1985;1992;AC302/ AA200
AC402;G;1993;;AC302
AC402;;1982;1984;
AC405;G;2013;;AC305
AC407;G;1985;1992;AC307/ AA200
AC407;G;1993;;AC307
AC407;;1982;1984;
AC409;G;1982;1992;AC309/ AA200
AC409;G;1993;;AC309
AC410;G;1985;1992;AC310/ AA200
AC410;G;1993;2007;AC310
AC410;G;2008;;AC310/ AA200
AC410;;1982;1984;
AC411;G;1985;1992;AC311/ AA200
AC411;G;1993;;AC311
AC412;G;1990;1990;AC206/ AA200
AC412;G;1991;;AC615
AC412;;1986;1989;
AC413;G;1993;2001;AC301
AC413;G;2002;2002;AC113  AC213  AC313  AC314
AC413;;2003;;
AC415;G;2011;;AC315
AC420;G;2002;2007;AC319  AC320
AC420;G;2008;;AC319  AC320/ AA200
AC425;G;2014;;AC325/ AA200
AC430;G;2002;2007;AC330
AC430;G;2008;;AC330/ AA200
AC452;G;1995;;AC352
AC453;G;2005;;AC353
AC501;G;1985;1992;AC401/ AA200
AC501;G;1993;1999;AC401
AC501;G;2000;2001;AC401/ AA200
AC501;G;2002;2003;AC413
AC501;;1982;1984;
AC501;;2004;;
AC502;G;1985;1992;AC402/ AA200
AC502;G;1993;2001;AC402
AC502;G;2002;2003;AC420
AC502;;2004;;
AC509;G;1985;1992;AC409/ AA200
AC509;G;1993;2001;AC409
AC509;G;2002;2009;AC430
AC509;;2010;;
AC511;G;1985;1992;AC411/ AA200
AC511;G;1993;2007;AC411
AC511;G;2008;;AC411/ AA200
AC512;G;1985;1992;AC412/ AA200
AC512;G;1993;;AC412
AC513;G;1990;1990;AC208  AC401/ AA200
AC513;;1986;1989;
AC513;;1991;;
AC514;G;1990;1990;AC208  AC401  AC402/ AA200
AC514;G;1991;1992;AA200/ AC205  AC407  AC512  AC601  AC602  AC609  AC613  AC615  AC617
AC514;G;1993;2000;AC205  AC407  AC512  AC601  AC602  AC609  AC613  AC615  AC617
AC514;;1986;1989;
AC514;;2001;;
AC515;G;1990;1990;AC410/ AA200
AC515;G;1991;2000;AC206
AC515;G;2001;;AC242
AC515;;1986;1989;
AC522;G;1991;2001;AC409  AC615
AC522;G;2002;2003;AC430
AC522;;2004;;
AC552;G;1995;;AC452
AC555;G;2003;2004;AC430
AC555;G;2005;2009;AC430/ AA200
AC555;G;2010;2012;AA200
AC555;G;2013;2013;AA200/ AC316  AC410  AC440
AC555;G;2014;;AA200/ AC316  AC440
AC556;G;2003;2004;AC313  AC314  AC319  AC320
AC556;G;2005;2010;AA200/ AC313  AC314  AC319  AC320
AC556;G;2011;;AA200/ AC319  AC320
AC601;G;1985;1992;AC501/ AA200
AC601;G;1993;1999;AC501
AC601;G;2000;2003;AC501/ AA200
AC601;;2004;;
AC602;G;1985;1992;AC502/ AA200
AC602;G;1993;2003;AC502
AC602;;2004;;
AC609;G;1985;1992;AC509/ AA200
AC609;G;1993;;AC509
AC611;G;1985;1992;AC511/ AA200
AC611;G;1993;2007;AC511
AC611;G;2008;;AC511/ AA200
AC613;G;1985;1992;AC513/ AA200
AC613;G;1993;;AC513
AC615;G;1985;1992;AC515/ AA200
AC615;G;1993;;AC515
AC616;G;1990;1990;AC514/ AA200
AC616;G;1991;1992;AA200/ AC205  AC407  AC512  AC601  AC602  AC609  AC613  AC615  AC617
AC616;G;1993;2000;AC205  AC407  AC512  AC601  AC602  AC609  AC613  AC615  AC617
AC616;;1986;1989;
AC616;;2001;;
AC617;G;1990;1990;AC304/ AA200
AC617;G;1991;2000;AC104
AC617;;1986;1989;
AC617;;2001;;
AC622;G;1991;2003;AC522
AC622;;2004;;
AC652;G;1995;;AC352
AC666;G;2003;2012;AC555
AC666;G;2013;;AC555/ AA200
AC667;G;2003;;AC556
AC703;G;1999;2000;AC205  AC407  AC512  AC601  AC602  AC609  AC613  AC615  AC617
AC703;;2001;;
AC718;G;1988;1989;AC609
AC718;G;1990;1992;AC205  AC407  AC512  AC601  AC602  AC609  AC613  AC615  AC616  AC617/ AA200
AC718;G;1993;2000;AC205  AC407  AC512  AC601  AC602  AC609  AC613  AC615  AC617
AC718;;1986;1987;
AC718;;2001;;
AC719;G;1988;1989;AC609
AC719;G;1990;1992;AC205  AC407  AC512  AC601  AC602  AC609  AC613  AC615  AC616  AC617/ AA200
AC719;G;1993;2000;AC205  AC407  AC512  AC601  AC602  AC609  AC613  AC615  AC617
AC719;G;2001;2001;AC205  AC407  AC512  AC601  AC602  AC609  AC615  AC617
AC719;G;2002;2003;AC003  AC205  AC212  AC430  AC601  AC602  AC609  AC617/ AC004  AC205  AC212  AC430  AC601  AC602  AC609  AC617
AC719;G;2004;;AC609  AC611
AC719;;1985;1987;
AC723;G;1991;1992;AA200/ AC205  AC407  AC512  AC601  AC602  AC609  AC613  AC615  AC617
AC723;G;1993;;AC205  AC407  AC512  AC601  AC602  AC609  AC613  AC615  AC617
AC777;G;2003;2012;AC666
AC777;G;2013;;AC666/ AA200
AC778;G;2003;;AC667
AC803;G;1999;2003;AC703
AC803;;2004;;
AC819;G;1985;1985;AC719/ AA200  AC407  AC512  AC601  AC602  AC609  AC613  AC615  AC617
AC819;G;1986;1989;AC719/ AA200
AC819;G;1990;1992;AA200/ AC718  AC719
AC819;G;1993;;AC718  AC719
AC820;G;1990;1992;AC718  AC719/ AA200
AC820;G;1993;;AC718  AC719
AC820;;1986;1989;
AC821;G;1990;1992;AC718  AC719/ AA200
AC821;G;1993;;AC718  AC719
AC821;;1986;1989;
AC888;G;2003;2012;AC777
AC888;G;2013;;AC777/ AA200
AC889;G;2003;;AC778
AC891;G;2003;;AC777
AD011;;2006;;
AD012;G;2006;;AD011
AD022;G;2006;;AD021
AD023;G;2006;;AD022
AD024;G;2006;;AD023
AD025;G;2006;;AD024
AD026;G;2006;;AD025
AD042;G;2006;;AD041
AD043;G;2006;;AD042
AD044;G;2006;;AD043
AD045;G;2006;;AD044
AD046;G;2006;;AD045
AD047;G;2006;;AD046
AD048;G;2006;;AD047
AD052;G;2006;2013;AD051
AD052;G;2014;;AD051/ AA200
AD053;G;2006;2013;AD052
AD053;G;2014;;AD052/ AA200
AD054;G;2006;2013;AD053
AD054;G;2014;;AD053/ AA200
AD055;G;2006;2013;AD054
AD055;G;2014;;AD054/ AA200
AD056;G;2006;2013;AD055
AD056;G;2014;;AD055/ AA200
AD061;G;2006;;AD012  AD026  AD030  AD046  AD435
AD062;G;2006;;AD061
AD071;G;2006;2012;AR101  AR301  EL211  EL511  EL683
AD071;G;2013;;AR101  AR301  EL212  EL511  EL683
AD072;G;2006;;AD071
AD081;G;2006;;AD012  AD026  AD030  AD046  AD435  AD072  EL874
AD082;G;2006;;AD081
AD101;;1986;;
AD102;;1986;;
AD103;;1986;;
AD104;;1986;;
AD105;;1986;;
AD106;G;1987;1987;AA200
AD106;;1986;1986;
AD106;;1988;;
AD107;;1986;;
AD108;;1986;;
AD109;;1986;;
AD111;;1987;;
AD112;G;1991;;AD216
AD115;;1991;;
AD116;;1991;;
AD201;G;1985;1995;AD101/ AA200
AD201;G;1996;;AD101
AD202;G;1985;1985;AD102
AD202;G;1986;1987;AD102/ AA200
AD202;G;1988;;AA200/ AD102  AD106
AD203;G;1985;1985;AA200/ AD103
AD203;G;1986;;AD103/ AA200
AD204;G;1985;1985;AA200/ AD101  AD104
AD204;G;1986;1986;AD101  AD104/ AA200
AD204;G;1987;;AD104/ AA200
AD205;G;1985;;AD105/ AA200
AD206;G;1985;1985;AD106
AD206;G;1986;1987;AD106/ AA200
AD206;G;1988;1988;AA200/ AD102  AD106
AD206;G;1989;1989;AD102  AD106/ AA200
AD206;G;1990;;AA200/ AD102  AD106
AD207;G;1985;1995;AD107/ AA200
AD207;G;1996;;AD107
AD208;;1986;;
AD209;G;1985;1995;AD109/ AA200
AD209;G;1996;;AD109
AD210;G;1985;1985;AA200/ AD101  AD102  AD103  AD104  AD106
AD210;G;1986;1986;AD101  AD102  AD103  AD104  AD106/ AA200
AD210;;1987;;
AD211;G;1987;2002;AD111/ AA200
AD211;G;2003;;AD111
AD212;G;1991;;AD112
AD215;G;1991;;AD115
AD216;G;1991;;AD116
AD217;G;1996;;AD117
AD227;G;2003;;AD127
AD235;G;2003;;AD135
AD244;G;2003;;AD144
AD301;G;1985;1995;AD201/ AA200
AD301;G;1996;;AD201
AD302;G;1985;1985;AA200/ AD202
AD302;G;1986;;AD202/ AA200
AD303;G;1987;2002;AD211/ AA200
AD303;G;2003;;AD211
AD304;G;1985;1985;AA200/ AD201  AD204
AD304;G;1986;1986;AD201  AD204/ AA200
AD304;G;1987;;AD204/ AA200
AD305;G;1985;;AD205/ AA200
AD306;G;1987;1987;AD206/ AA200
AD306;G;1988;1988;AA200/ AD202  AD206
AD306;G;1989;1989;AD202  AD206/ AA200
AD306;G;1990;;AA200/ AD202  AD206
AD308;;1986;;
AD310;G;1985;1995;AD210/ AA200
AD310;G;1996;;AD210
AD311;G;1985;2002;AD209/ AA200
AD311;G;2003;;AD209
AD313;;1986;;
AD314;;1986;;
AD315;G;1991;;AD215
AD316;G;1991;;AD216
AD320;G;2003;;AD220
AD321;;1986;;
AD334;G;1996;;AD209
AD334;;1987;1995;
AD335;G;2003;;AD235
AD344;G;2003;;AD244
AD401;G;1985;1985;AA200/ AD301
AD401;G;1986;;AD301/ AA200
AD402;G;1985;1985;AA200/ AD302
AD402;G;1986;;AD302/ AA200
AD404;G;1985;1985;AA200/ AD301  AD304
AD404;G;1986;1986;AD301  AD304/ AA200
AD404;G;1987;1988;AA200/ AD304
AD404;G;1989;1989;AD304/ AA200
AD404;G;1990;;AA200/ AD304
AD405;G;1985;;AD305/ AA200
AD408;;1986;;
AD410;G;1985;1995;AD310/ AA200
AD410;G;1996;;AD310
AD412;G;2005;;AD321
AD412;;2003;2004;
AD413;G;1985;1995;AD313/ AA200
AD413;G;1996;;AD313
AD415;G;1991;;AD315
AD417;G;1987;1990;AD303/ AA200
AD417;G;1996;;AD317
AD417;;1991;1995;
AD420;G;2003;;AD320
AD421;;1987;;
AD422;G;1985;;AD321/ AA200
AD427;;1986;;
AD428;;1986;;
AD429;;1992;;
AD430;;1992;;
AD431;;1992;;
AD434;G;1987;1995;AD334/ AA200
AD434;G;1996;;AD204  AD334
AD435;G;2003;;AD335
AD444;G;2003;;AD344
AD504;G;1987;;AD404/ AA200
AD505;G;1991;;AD415
AD507;G;1992;1997;AD107  AD207
AD507;G;1998;2001;AD107  AD207/ AD117  AD217
AD507;G;2002;;AD117  AD217
AD510;G;1996;;AD410
AD512;G;2003;;AD412
AD515;G;1985;1985;AA200/ AD203  AD401  AD402  AD404
AD515;G;1986;;AD203  AD401  AD402  AD404/ AA200
AD516;G;1985;1986;AD203  AD401  AD402  AD404/ AA200
AD516;G;1987;1988;AA200/ AD211  AD301  AD404
AD516;G;1989;1989;AD211  AD301  AD404/ AA200
AD516;G;1990;;AA200/ AD211  AD301  AD404
AD517;G;1985;1986;AD207  AD209  AD401  AD402  AD404/ AA200
AD517;G;1987;1988;AA200/ AD417
AD517;G;1989;1989;AD417/ AA200
AD517;G;1990;1995;AA200/ AD417
AD517;G;1996;;AD417
AD518;;1986;;
AD519;G;1985;1985;AA200/ AD206  AD413
AD519;G;1986;1986;AD206  AD413/ AA200
AD519;G;1987;;AA200/ AD206  AD413
AD520;G;2003;;AD420
AD521;G;1987;1988;AD421/ AA200
AD521;G;2005;;AD421
AD521;;1989;2004;
AD522;G;1991;;AD422
AD525;G;1985;1985;AA200/ AD422  AD427
AD525;G;1986;1986;AD422  AD427/ AA200
AD525;G;1987;1988;AA200/ AD422  AD427
AD525;;1989;;
AD534;G;1996;;AD209  AD334
AD535;G;2003;;AD435
AD544;G;2003;;AD444
AD601;G;2005;;AD521
AD601;;2003;2004;
AD604;G;1987;;AD504/ AA200
AD605;G;1991;;AD505
AD607;G;1992;2001;AD107  AD207
AD607;G;2002;;AD117  AD217
AD615;G;1985;1985;AA200/ AD515
AD615;G;1986;;AD515/ AA200
AD616;G;1985;;AD516/ AA200
AD617;G;1985;1985;AA200/ AD517
AD617;G;1986;;AD517/ AA200
AD620;G;1985;2001;AD207/ AA200
AD620;G;2002;2002;AD217/ AA200
AD620;;2003;;
AD630;;1986;;
AD631;;1986;;
AD635;G;2003;;AD535
AD644;G;2003;;AD544
AD700;G;2003;;AD435  AD520  AD517  AD644  AD823
AD700;;1996;2002;
AD704;G;1987;;AD604/ AA200
AD712;;1986;;
AD713;;1991;;
AD715;G;1985;1985;AA200/ AD615
AD715;G;1986;;AD615/ AA200
AD721;;1986;;
AD722;G;1987;;AD517/ AA200
AD722;;1985;1986;
AD723;G;1985;1985;AA200/ AD405  AD410
AD723;G;1986;1986;AD405  AD410/ AA200
AD723;G;1987;1995;AD517/ AA200
AD723;G;1996;2002;AD517
AD723;G;2003;;AD417
AD724;;1986;;
AD732;;1986;;
AD733;;1986;;
AD744;G;2003;;AD644
AD800;G;2003;;AD700
AD800;;1963;2002;
AD804;G;1987;;AD704/ AA200
AD815;G;1985;1985;AA200/ AD715
AD815;G;1986;;AD715/ AA200
AD821;G;1985;1985;AA200/ AD721
AD821;G;1986;;AD721/ AA200
AD822;G;1985;;AD722/ AA200
AD823;G;1985;1995;AD723/ AA200
AD823;G;1996;;AD723
AD824;G;1985;2002;AD724/ AA200
AD824;G;2003;;AD724
AD844;G;2003;;AD744
AD901;G;2004;;AD420  AD544  AD630
AG200;G;2014;;MG100
AG300;G;2014;;AG200
AG700;G;2009;2013;GL603
AG700;G;2014;;GL502
AG701;G;2009;;GL601
AG702;G;2009;2009;GL603
AG702;G;2010;;GL506
AG703;G;2009;2009;GL603
AG703;;2010;;
AG704;G;2009;;GL503  GL603
AG705;G;2009;2009;AG703
AG705;G;2010;2013;AG702/ GL506
AG705;G;2014;;MG500
AG706;G;2010;2013;GL603
AG706;G;2014;;MG100
AG800;G;2009;;GL603
AG801;G;2009;;AG701
AG802;G;2009;;AG703
AG803;G;2009;2009;GL603
AG803;;2010;;
AG804;G;2009;2009;GL603
AG804;G;2010;;LE803
AG805;G;2009;;GL603
AG806;G;2014;;AG300
AI001;G;2000;;AA200
AI002;G;2000;;AA200
AM018;G;2000;;AA200
AM019;G;2000;2001;AA200
AM019;G;2002;;AA200  AM018
AM020;G;2000;;AA200
AM024;G;2002;2002;AA200  AM018
AM024;G;2003;;AA200  AM019
AM025;G;2002;;AA200  AM024
AM026;G;2002;;AA200  AM025
AM027;G;2002;;AA200  AM026
AM028;G;2002;;AA200  AM027
AM029;G;2002;;AA200  AM028
AM036;G;2007;;AA200
AM041;G;2011;;AA200
AM042;G;2011;;AA200
AM044;G;2009;;AM034
AM045;G;2009;;AM035
AM050;G;2012;;AA200
AM051;G;2013;;AA200
AM052;G;2013;;AA200
AM053;G;2013;;AA200
AM054;G;2013;;AA200
AM055;G;2013;;AA200
AM056;G;2013;;AA200
AM057;G;2013;;AA200
AM058;G;2013;;AA200
AM061;G;2014;;AA200
AP101;;1984;;
AP102;;1984;;
AP103;;1984;;
AP104;;1984;;
AP105;;1984;;
AP106;;1984;;
AP108;;1984;;
AP109;;1984;;
AP111;;1999;;
AP112;G;1999;1999;AP111  AP211
AP112;G;2000;;AP111 *AP211
AP114;G;1999;1999;AP213  AU113  AU312  HH779
AP114;G;2000;;AP213 *AU113 *HH779
AP115;G;2003;2008;*AP213/*AU113/*HH792
AP115;G;2009;2010;*AP213
AP115;;2011;;
AP120;G;1999;1999;*AP114/*AP214/ AA200
AP120;G;2000;2002;AP214 *AP114/ AA200
AP120;G;2003;2006;*AP214/*AP215/ AA200
AP120;G;2007;;AP216/ AP217/ AA200
AP198;;2006;;
AP200;G;2006;;AP100
AP200;;2002;2005;
AP202;G;1984;1991;AP102/ AA200
AP202;G;1993;1993;AP102/ AA200
AP202;G;1994;;AP102
AP202;;1992;1992;
AP203;G;1984;2005;AP103/ AA200
AP203;G;2006;;AP103
AP204;G;1984;2005;AP104/ AA200
AP204;G;2006;;AP104
AP205;G;1984;;AP105/ AA200
AP206;G;1984;2005;AP106/ AA200
AP206;G;2006;;AP106
AP207;;1984;;
AP208;G;1984;1996;AP108/ AA200
AP208;;1997;;
AP209;G;1984;;AP109/ AA200
AP210;G;2003;;AP110
AP211;;1999;;
AP213;G;1999;;AP211
AP214;G;1999;1999;AP213  AU313
AP214;G;2000;2002;AP213 *AU313
AP214;G;2003;;*AP213 *AU303
AP215;G;2003;;*AP214
AP216;G;2007;2008;AA450
AP216;;2009;;
AP217;G;2007;2008;AA450
AP217;;2009;;
AP221;G;2014;;AR111
AP298;G;2006;;AP198
AP302;G;1984;1991;AP202/ AA200
AP302;G;1993;1993;AP202/ AA200
AP302;G;1994;;AP202
AP302;;1992;1992;
AP303;G;1984;2005;AP203/ AA200
AP303;G;2006;;AP203
AP304;G;1984;2005;AP204/ AA200
AP304;G;2006;;AP204
AP305;G;1984;2002;AP205/ AA200
AP305;G;2003;;AP210/ AA200
AP306;G;1984;;AP206/ AA200
AP307;G;1984;;AP207/ AA200
AP309;G;2005;;AA200
AP309;;2004;2004;
AP310;;1984;;
AP313;;1984;;
AP314;G;2003;2010;*AU303/*AP213
AP314;;2011;;
AP315;G;1999;1999;AU313 *AP214/ AA200
AP315;G;2000;2001;AU313 *AP214
AP315;G;2002;;AU313/*AP214/ AA200
AP398;G;2006;;AP298
AP401;G;2006;;AA200
AP402;G;1999;2000;AP202
AP402;;2001;;
AP403;G;1984;2005;AP303/ AA200
AP403;G;2006;;AP303
AP404;G;1984;2005;AP304/ AA200
AP404;G;2006;;AP304
AP406;G;1984;;AP306/ AA200
AP407;G;1984;;AP307/ AA200
AP409;G;2004;2004;AP309
AP409;G;2005;;AA200
AP413;G;1984;;AP313/ AA200
AP414;G;1984;1991;AP302/ AA200
AP414;G;1993;1993;AP302/ AA200
AP414;G;1994;;AP302
AP414;;1992;1992;
AP415;G;1984;1996;AP305/ AA200
AP415;G;1997;1999;AP105
AP415;G;2000;2001;AP105  AP106
AP415;G;2002;2002;AP100  AP106
AP415;G;2003;2005;AP106  AP110
AP415;G;2006;2007;AP106
AP415;G;2008;;AP110
AP498;G;2006;;AP398
AP501;G;2006;;AA200
AP502;G;2000;2000;AP202
AP502;;2001;;
AP503;G;1984;;AP403/ AA200
AP504;G;1984;;AP404/ AA200
AP514;G;1984;1991;AP414/ AA200
AP514;G;1993;1993;AP414/ AA200
AP514;G;1994;;AP414
AP514;;1992;1992;
AP515;G;1984;2005;AP415/ AA200
AP515;G;2006;;AP415
AP516;G;1984;1996;AP407/ AA200
AP516;G;1997;;AP207/ AA200
AP518;;1984;;
AP519;;1984;;
AP520;G;1997;;AP204
AP520;;1984;1996;
AP525;G;2001;;AP414
AP598;G;2006;;AP498
AP600;;2009;;
AP601;G;2006;;AA200
AP602;G;2000;2000;AP202
AP602;;2001;;
AP603;G;1984;1996;AP503/ AA200
AP603;G;1997;;AP403/ AA200
AP604;G;1984;1996;AP504/ AA200
AP604;G;1997;;AP404/ AA200
AP609;G;2006;;AP509/ AA200
AP615;G;1984;2005;AP515/ AA200
AP615;G;2006;;AP515
AP616;G;1984;;AP516/ AA200
AP618;G;1984;2005;AP518/ AA200
AP618;G;2006;;AP518
AP619;G;1984;;AP519/ AA200
AP620;G;1984;2005;AP520/ AA200
AP620;G;2006;;AP520
AP621;G;1984;1991;AP514/ AA200
AP621;G;1993;1993;AP514/ AA200
AP621;G;1994;;AP514
AP621;;1992;1992;
AP660;G;2004;2004;AP560
AP660;G;2005;;AP560/ AA200
AP702;G;2000;2000;AP202
AP702;;2001;;
AP703;G;1984;;AP603/ AA200
AP704;G;1984;;AP604/ AA200
AP711;G;1999;1999;AU115  AU611
AP711;G;2000;;AU611 *AU113
AP712;G;1999;1999;AP711  AU613
AP712;G;2000;;AP711 *AU613
AP715;G;1984;;AP615/ AA200
AP716;G;1984;;AP616/ AA200
AP718;G;2001;;AP618
AP719;G;1984;;AP619/ AA200
AP720;G;1992;;AP620/ AA200
AP721;G;1984;1991;AP621/ AA200
AP721;G;1993;1993;AP621/ AA200
AP721;G;1994;;AP621
AP721;;1992;1992;
AP722;G;1984;;AP620/ AA200
AP723;G;1984;1995;AP604/ AA200
AP723;;1996;;
AP724;G;2000;2005;AP620/ AA200
AP724;G;2006;;AP620
AP731;G;2006;;AP632/ AA200
AP732;G;2001;;AP632
AP733;G;1992;1992;AA200/ AP603
AP733;G;1993;1996;AP603/ AA200
AP733;G;1997;;AP403/ AA200
AP734;G;1992;1992;AA200/ AP604
AP734;G;1993;1996;AP604/ AA200
AP734;G;1997;;AP404/ AA200
AP735;G;2012;2012;AA200  AA460
AP735;G;2013;;AA200/ AA470
AP737;G;2012;2012;AA200  AA460
AP737;G;2013;;AA200/ AA470
AP739;G;2012;;AA200  AA460
AP741;G;2003;2010;*AU115 *AU601
AP741;G;2011;;*AU601
AP742;G;2003;;*AP741 *AU613
AP745;G;1992;1992;AA200/ AP615
AP745;G;1993;;AP615/ AA200
AP746;G;1992;1992;AA200/ AP616
AP746;G;1993;;AP616/ AA200
AP749;G;1992;1992;AA200/ AP619
AP749;G;1993;;AP619/ AA200
AP760;G;2004;2004;AP660
AP760;G;2005;;AP660/ AA200
AP761;G;1996;;AP620
AP762;G;2006;2011;AA200
AP762;G;2012;;EL874/ AA200
AP764;G;2000;;AP620
AP765;G;2006;2007;AA200
AP765;G;2008;;AA200  AA475
AP766;G;2006;2007;AA200
AP766;G;2008;;AA200  AA475
AP767;G;2006;2007;AA200
AP767;G;2008;;AA200  AA475
AP768;G;2006;2007;AA200
AP768;G;2008;;AA200  AA475
AP769;G;2006;2007;AA200
AP769;G;2008;;AA200  AA475
AP770;G;2006;2007;AA200
AP770;G;2008;;AA200  AA475
AP771;G;2006;2007;AA200
AP771;G;2008;;AA200  AA475
AP772;G;2006;2007;AA200
AP772;G;2008;;AA200  AA475
AP781;G;2009;;AA460/ AA200
AP783;G;2009;;AA460/ AA200
AP785;G;2009;;AA460/ AA200
AP802;G;2000;2000;AP202
AP802;;2001;;
AP809;G;2014;;AP709
AP818;G;2001;;AP718
AP823;G;1997;2000;AP723
AP823;;2001;;
AP824;G;1984;;AP703/ AA200
AP825;;1984;;
AP826;G;1984;;AP715/ AA200
AP827;G;1984;;AP722/ AA200
AP828;;1984;;
AP829;G;1984;;AP406/ AA200
AP831;G;1984;;AP620/ AA200
AP834;G;1997;;AP734/ AA200
AP835;G;2005;;AP102  AP202  AP303  AP414  AP525
AP836;G;2012;2012;AA200  AP735
AP836;G;2013;;AA200/ AA470  AP735
AP838;G;2012;2012;AA200  AP737
AP838;G;2013;;AA200/ AA470  AP737
AP840;G;2012;;AA200  AP739
AP854;G;1992;1992;AA200/ AP603
AP854;G;1993;1996;AP603/ AA200
AP854;G;1997;;AP733/ AA200
AP855;G;1992;1992;AA200/ AP604
AP855;G;1993;;AP604/ AA200
AP856;G;1992;1992;AA200/ AP615
AP856;G;1993;;AP615/ AA200
AP857;G;1992;1999;AP720
AP857;G;2000;;AP724
AP858;G;1994;;AP758
AP858;;1992;1993;
